created_utc,score,positive,neutral,negative
2018-03-01,4686,140,156,39
2018-03-02,6133,137,156,54
2018-03-03,6684,123,116,38
2018-03-04,4122,134,117,44
2018-03-05,4162,159,162,56
2018-03-06,9617,151,156,54
2018-03-07,3478,134,151,35
2018-03-08,6085,144,133,45
2018-03-09,7391,138,150,44
2018-03-10,9312,126,124,36
2018-03-11,8999,134,140,56
2018-03-12,9287,132,148,44
2018-03-13,9549,173,163,41
2018-03-14,28151,136,150,41
2018-03-15,3975,142,139,45
2018-03-16,18154,164,157,42
2018-03-17,2234,79,107,38
2018-03-18,6742,106,140,40
2018-03-19,5243,165,149,43
2018-03-20,14513,175,208,57
2018-03-21,5726,164,186,51
2018-03-22,4939,166,188,48
2018-03-23,5529,183,174,57
2018-03-24,7567,106,118,40
2018-03-25,5816,137,151,50
2018-03-26,7510,157,161,45
2018-03-27,5394,146,155,34
2018-03-28,7943,179,198,44
2018-03-29,6039,154,154,50
2018-03-30,7638,181,188,46
2018-03-31,3598,106,105,32
2018-04-01,8623,110,123,28
2018-04-02,2303,102,98,29
2018-04-03,17325,164,187,50
2018-04-04,3713,160,156,46
2018-04-05,4501,138,145,32
2018-04-06,6468,123,143,43
2018-04-07,7838,161,140,38
2018-04-08,6471,141,164,53
2018-04-09,9177,161,177,58
2018-04-10,13264,148,156,43
2018-04-11,7943,147,176,47
2018-04-12,4473,158,180,50
2018-04-13,4735,121,166,40
2018-04-14,9924,216,234,91
2018-04-15,27387,297,524,216
2018-04-16,24427,438,715,282
2018-04-17,35052,508,733,259
2018-04-18,53146,729,1035,393
2018-04-19,33916,527,751,261
2018-04-20,24390,353,502,171
2018-04-21,10999,211,334,118
2018-04-22,11102,188,244,62
2018-04-23,13969,264,331,109
2018-04-24,9260,205,297,78
2018-04-25,6817,162,197,54
2018-04-26,11879,215,221,72
2018-04-27,12865,184,210,66
2018-04-28,11090,166,190,63
2018-04-29,7693,161,157,50
2018-04-30,10362,203,211,66
2018-05-01,9022,206,237,80
2018-05-02,13070,323,323,103
2018-05-03,14468,345,463,134
2018-05-04,7421,182,207,82
2018-05-05,4303,138,176,43
2018-05-06,5566,134,151,46
2018-05-07,6664,161,226,74
2018-05-08,9174,221,234,64
2018-05-09,9558,183,212,58
2018-05-10,5998,161,202,59
2018-05-11,8769,205,264,95
2018-05-12,6672,168,175,81
2018-05-13,3753,135,158,46
2018-05-14,6143,162,176,65
2018-05-15,9265,232,286,102
2018-05-16,5229,168,203,67
2018-05-17,9704,189,200,63
2018-05-18,5442,154,176,65
2018-05-19,20405,161,155,63
2018-05-20,17893,302,339,120
2018-05-21,12274,243,282,95
2018-05-22,10786,263,326,92
2018-05-23,7252,224,243,93
2018-05-24,16457,194,225,78
2018-05-25,7929,174,214,56
2018-05-26,10379,137,139,46
2018-05-27,5774,146,180,48
2018-05-28,10907,147,188,72
2018-05-29,16887,215,255,109
2018-05-30,159835,632,774,249
2018-05-31,18870,261,279,99
2018-06-01,23572,231,263,97
2018-06-02,8193,167,187,48
2018-06-03,25911,150,200,56
2018-06-04,16091,213,292,98
2018-06-05,17397,247,248,80
2018-06-06,15096,225,223,66
2018-06-07,6897,173,214,54
2018-06-08,6275,168,186,55
2018-06-09,5672,157,151,55
2018-06-10,12004,127,152,33
2018-06-11,6356,160,194,60
2018-06-12,7088,190,193,50
2018-06-13,10061,184,197,50
2018-06-14,13180,174,203,66
2018-06-15,5302,160,190,59
2018-06-16,6003,133,124,43
2018-06-17,8801,139,135,44
2018-06-18,6598,173,182,67
2018-06-19,21735,222,235,73
2018-06-20,21170,218,289,107
2018-06-21,13110,212,241,78
2018-06-22,4913,188,202,50
2018-06-23,9246,146,144,49
2018-06-24,7745,196,217,50
2018-06-25,5632,166,188,59
2018-06-26,20945,250,328,105
2018-06-27,5698,191,225,61
2018-06-28,13036,219,237,93
2018-06-29,4540,173,161,46
2018-06-30,7639,147,156,62
