created_utc,positive,neutral,negative
2018-03-01,2562,4902,1727
2018-03-02,6193,8804,2560
2018-03-03,3717,8706,1735
2018-03-04,3061,5837,1324
2018-03-05,4299,14086,1778
2018-03-06,7393,12711,3618
2018-03-07,2887,5382,1861
2018-03-08,3235,4909,1407
2018-03-09,2802,4643,1466
2018-03-10,6538,15034,3432
2018-03-11,3513,6624,1592
2018-03-12,4626,7793,2312
2018-03-13,12031,20297,6783
2018-03-14,15882,37194,7349
2018-03-15,3734,7486,1984
2018-03-16,15097,24422,6798
2018-03-17,7504,16424,4278
2018-03-18,4034,8246,2342
2018-03-19,11113,18634,5594
2018-03-20,5107,9842,3077
2018-03-21,5603,7536,1856
2018-03-22,2985,4551,1388
2018-03-23,4825,11562,2060
2018-03-24,2231,4554,1410
2018-03-25,3178,6292,1969
2018-03-26,3530,5859,1655
2018-03-27,5305,7914,2504
2018-03-28,9474,15744,4374
2018-03-29,3582,5775,1569
2018-03-30,3894,7319,2144
2018-03-31,3807,10269,2595
2018-04-01,1890,2859,916
2018-04-02,1769,2608,730
2018-04-03,3066,5662,1456
2018-04-04,4049,7414,2104
2018-04-05,3172,5266,1373
2018-04-06,3767,6317,1909
2018-04-07,3449,5344,1523
2018-04-08,7254,12167,4006
2018-04-09,12360,21897,6782
2018-04-10,3765,8452,1984
2018-04-11,4323,8579,2510
2018-04-12,4784,9351,3160
2018-04-13,7387,11695,4234
2018-04-14,6193,8475,2943
2018-04-15,6465,13257,4408
2018-04-16,8060,15173,4901
2018-04-17,16826,33800,10429
2018-04-18,23614,52852,17120
2018-04-19,11280,24237,8118
2018-04-20,8708,16710,5859
2018-04-21,6764,12631,3722
2018-04-22,4691,8251,2936
2018-04-23,7970,13306,4634
2018-04-24,5590,9316,3217
2018-04-25,5006,8184,2667
2018-04-26,7610,13916,5380
2018-04-27,14830,20812,7244
2018-04-28,7416,9620,3082
2018-04-29,8804,12621,3807
2018-04-30,10335,16654,4184
2018-05-01,6693,10520,3374
2018-05-02,16279,28803,7143
2018-05-03,8465,14117,4664
2018-05-04,11241,28093,10061
2018-05-05,12234,36370,12967
2018-05-06,3560,7001,2084
2018-05-07,4753,8821,3040
2018-05-08,4443,8074,1856
2018-05-09,13529,22330,4237
2018-05-10,8679,12824,4322
2018-05-11,5500,10221,3122
2018-05-12,6958,13170,3664
2018-05-13,4294,7665,2574
2018-05-14,4701,7881,3006
2018-05-15,9312,13591,4099
2018-05-16,6625,12929,5381
2018-05-17,6869,11996,3929
2018-05-18,3694,5547,1629
2018-05-19,5769,9737,3510
2018-05-20,24068,43186,13983
2018-05-21,6258,11038,3146
2018-05-22,11289,16503,5220
2018-05-23,16420,36113,13525
2018-05-24,8085,13620,4848
2018-05-25,4763,6669,2094
2018-05-26,3760,6455,2992
2018-05-27,3051,6122,1969
2018-05-28,3856,6625,2133
2018-05-29,11767,18689,6343
2018-05-30,44663,77726,29003
2018-05-31,9535,17506,6068
2018-06-01,4102,7433,2450
2018-06-02,2982,4800,1532
2018-06-03,4462,8163,2217
2018-06-04,6825,12392,3697
2018-06-05,8263,13974,4265
2018-06-06,6763,12331,3424
2018-06-07,11779,21018,8117
2018-06-08,10678,19781,7023
2018-06-09,8520,15541,5620
2018-06-10,10304,20786,7432
2018-06-11,5148,8594,2430
2018-06-12,8030,15294,4441
2018-06-13,5302,9540,2757
2018-06-14,7291,10505,3885
2018-06-15,6220,11612,4232
2018-06-16,4871,9083,2332
2018-06-17,6317,11388,3939
2018-06-18,6387,13038,4603
2018-06-19,8164,18112,4884
2018-06-20,11967,22597,6027
2018-06-21,10179,20826,5660
2018-06-22,5397,10239,2958
2018-06-23,5872,9714,2718
2018-06-24,6065,9791,2588
2018-06-25,5113,7623,2415
2018-06-26,20415,43129,13286
2018-06-27,5515,9986,3302
2018-06-28,6585,14010,3888
2018-06-29,5906,11541,3456
2018-06-30,14115,27897,10659
